,country,description,designation,points,price,province,region_1,region_2,variety,winery
0,US,"This is quite soft and pretty, a charming wine with appealing flavors of rose water, cherry and sandalwood. Not for keeping, but most enjoyable right now.",Vineyard Select,87,18.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Gresser
1,France,"A crisp, fresh Riesling that manages to be lean without being mean, cushioning its racy acids with just enough lime and green apple fruit flavors.",Le Dragon,86,34.0,Alsace,Alsace,,Riesling,Josmeyer
2,US,"A medium bouquet of apple, lemon and a touch of fresh young peach. The oak is there but not overpowering. The palate is well structured with good acidity and a medium weight followed by a lengthy finish.",Grand Cru,85,15.0,New York,North Fork of Long Island,Long Island,Chardonnay,Raphael
3,Argentina,"Aromas of blackberry, balsam wood, lemony oak and forest floor lead into a fully stocked, hefty palate. Flavors of black fruits, licorice, herbs and oak finish bright but level. What this lacks in complexity is made up for in ripe berry flavors and overall balance.",Reserva,90,24.0,Mendoza Province,Mendoza,,Malbec,Sur de los Andes
4,Italy,"Aromas of wild flower, honey and peach characterize this fresh, vintage-dated Extra Dry Prosecco. There's a touch of sweetness on the finish backed by spicy effervescence.",Villa Luigia Millesimato Extra Dry,87,20.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,Il Follo
5,US,"Nice aromas suggest cassis and deep, wild mountain berry; the wine has a suppleness long missing from the Hogue lineup. Tannins are still quite evident, and in this young wine come across as just a bit green and scrapey. But with more bottle age, decanting, or maybe just a good greasy steak they will mellow and be entirely welcome.",Genesis,86,16.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Hogue
6,US,"A worthy followup to the 2001, it's not as voluptuous, but is better structured and is likely more ageworthy. The wine is tannic, but balanced and rich in Cabernet fruit. It has that edge of elegant complexity that marks a great wine. Drink now–2015.",Reserve,93,60.0,California,Santa Cruz Mountains,Central Coast,Cabernet Sauvignon,Martin Ray
7,US,"Distinctly different from the Avery vineyard bottling, this has pleasing, brambly strawberry fruit flavors, intertwined with spice, cola and a bit of Dr. Pepper. Not a big wine, but loaded with fruit flavor.",Les Collines Vineyard,88,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Zinfandel,Three Angels
8,US,"This gets the award for the most confusing label of the month. It says Vigil “Tradicion” and also names the vineyard, then writes Mokelumne River Old Vines, and finishes with Lodi. Talk about information overload! Bottom line: it's a fruity, oaky, simple and straightforward bottle of Zin. 'Nuff said.",Marissa Vineyard,85,16.0,California,California,California Other,Zinfandel,Vigil
9,US,"Unique in style and sourced—these are the oldest Pinot Gris vines in the country—this young, yeasty, textural wine will surely continue to improve in the bottle. Give it a lot of breathing time, and complex layers of rock and fruit unfold. Jicama, cucumber, daikon radish...You get the idea. It tastes as clean and fresh as a mountain spring.",Original Vines,92,22.0,Oregon,Dundee Hills,Willamette Valley,Pinot Gris,The Eyrie Vineyards
